x-axis,1,3,MATH1
second,Volt,Volt,Volt
+792.2500E-06,-1.3492462166E+00,+1.0628140590E+00,-2.4121093750E+00
+792.5000E-06,-1.6080401838E+00,+1.0025125521E+00,-2.6147460938E+00
+792.7500E-06,-1.6658291279E+00,+1.1482411937E+00,-2.8222656250E+00
+793.0000E-06,-1.6105527465E+00,+1.4447236027E+00,-3.0566406250E+00
+793.2500E-06,-1.7236180721E+00,+1.6356783743E+00,-3.3618164062E+00
+793.5000E-06,-2.0854271135E+00,+1.4472361654E+00,-3.5400390626E+00
+793.7500E-06,-1.9748743506E+00,+1.5628140537E+00,-3.5449218750E+00
+794.0000E-06,-1.8542713368E+00,+1.7663316394E+00,-3.6254882812E+00
+794.2500E-06,-2.0552763598E+00,+1.8668341509E+00,-3.9282226562E+00
+794.5000E-06,-2.2135678154E+00,+1.7261306348E+00,-3.9453125000E+00
+794.7500E-06,-2.2286431923E+00,+1.7688442022E+00,-4.0014648438E+00
+795.0000E-06,-2.0075376670E+00,+1.9321607833E+00,-3.9453125000E+00
+795.2500E-06,-2.0276381693E+00,+1.8316582718E+00,-3.8671875000E+00
+795.5000E-06,-2.1231155553E+00,+1.7361808857E+00,-3.8671875000E+00
+795.7500E-06,-2.0326632947E+00,+1.7462311371E+00,-3.7792968750E+00
+796.0000E-06,-1.8492462113E+00,+1.8492462113E+00,-3.7011718750E+00
+796.2500E-06,-1.8492462113E+00,+1.6884421930E+00,-3.5449218750E+00
+796.5000E-06,-1.8542713368E+00,+1.4798994818E+00,-3.3374023438E+00
+796.7500E-06,-1.6884421930E+00,+1.4698492304E+00,-3.1665039062E+00
+797.0000E-06,-1.5226130492E+00,+1.4522612908E+00,-2.9785156250E+00
+797.2500E-06,-1.4924622954E+00,+1.2864321470E+00,-2.7859497069E+00
+797.5000E-06,-1.3618090308E+00,+1.0502512449E+00,-2.4121093750E+00
+797.7500E-06,-1.0678391845E+00,+1.0452261195E+00,-2.1215820312E+00
+798.0000E-06,-806.5326546E-03,+1.0402009940E+00,-1.8530273438E+00
+798.2500E-06,-821.6080315E-03,+706.0301431E-03,-1.5332031250E+00
+798.5000E-06,-809.0452173E-03,+396.9849205E-03,-1.2109375000E+00
+798.7500E-06,-447.2361760E-03,+437.1859251E-03,-888.6718750E-03
+799.0000E-06,-319.0954740E-03,+243.7185903E-03,-566.4062500E-03
+799.2500E-06,-178.3919580E-03,+62.8140696E-03,-244.1406250E-03
+799.5000E-06,-160.8040184E-03,-278.8944694E-03,+114.7460938E-03
+799.7500E-06,+138.1909534E-03,-241.2060276E-03,+375.6713868E-03
+800.0000E-06,+399.4974832E-03,-324.1205995E-03,+722.6562500E-03
+800.2500E-06,+447.2361760E-03,-597.9899435E-03,+1.0449218750E+00
+800.5000E-06,+444.7236133E-03,-884.4221011E-03,+1.3208007812E+00
+800.7500E-06,+816.5829060E-03,-849.2462219E-03,+1.6577148438E+00
+801.0000E-06,+1.0402009940E+00,-967.3366730E-03,+1.9995117188E+00
+801.2500E-06,+919.5979802E-03,-1.3316582771E+00,+2.2460937500E+00
+801.5000E-06,+1.0502512449E+00,-1.4472361654E+00,+2.4905395506E+00
+801.7500E-06,+1.3090452120E+00,-1.4824120446E+00,+2.7877807618E+00
+802.0000E-06,+1.5251256119E+00,-1.5276381746E+00,+3.0444335938E+00
+802.2500E-06,+1.5100502350E+00,-1.7236180721E+00,+3.2299804688E+00
+802.5000E-06,+1.4899497327E+00,-1.8869346532E+00,+3.3691406250E+00
+802.7500E-06,+1.8040200813E+00,-1.7336683230E+00,+3.5351562500E+00
+803.0000E-06,+1.8467336486E+00,-1.8517587741E+00,+3.6914062500E+00
+803.2500E-06,+1.6608040025E+00,-2.1984924385E+00,+3.8574218750E+00
+803.5000E-06,+1.8065326440E+00,-2.0954773643E+00,+3.8989257812E+00
+803.7500E-06,+1.9296482205E+00,-1.9648240997E+00,+3.8888549806E+00
+804.0000E-06,+1.8542713368E+00,-2.0854271135E+00,+3.9355468750E+00
+804.2500E-06,+1.8140703322E+00,-2.1080401785E+00,+3.9184570312E+00
+804.5000E-06,+1.8115577695E+00,-2.0477386716E+00,+3.8574218750E+00
+804.7500E-06,+2.0452261089E+00,-1.7914572672E+00,+3.8327026368E+00
+805.0000E-06,+1.8467336486E+00,-1.7713567649E+00,+3.6132812500E+00
+805.2500E-06,+1.6080401838E+00,-1.9296482205E+00,+3.5351562500E+00
+805.5000E-06,+1.6080401838E+00,-1.8115577695E+00,+3.4158325194E+00
+805.7500E-06,+1.7587939513E+00,-1.4924622954E+00,+3.2470703127E+00
+806.0000E-06,+1.4497487281E+00,-1.5251256119E+00,+2.9687500000E+00
+806.2500E-06,+1.1256281286E+00,-1.5276381746E+00,+2.6464843750E+00
+806.5000E-06,+1.1683416960E+00,-1.3241205889E+00,+2.4902343750E+00
+806.7500E-06,+1.1256281286E+00,-1.1256281286E+00,+2.2460937500E+00
+807.0000E-06,+1.0402009940E+00,-891.9597892E-03,+1.9262695312E+00
+807.2500E-06,+625.6281339E-03,-1.0452261195E+00,+1.6625976562E+00
+807.5000E-06,+562.8140643E-03,-809.0452173E-03,+1.3674926756E+00
+807.7500E-06,+517.5879343E-03,-505.0251201E-03,+1.0202026368E+00
+808.0000E-06,+165.8291438E-03,-479.8994924E-03,+637.5122069E-03
+808.2500E-06,-80.4020092E-03,-402.0100459E-03,+312.5000000E-03
+808.5000E-06,-118.0904511E-03,-160.8040184E-03,+41.5039062E-03
+808.7500E-06,-218.5929626E-03,+80.4020092E-03,-300.2929688E-03
+809.0000E-06,-484.9246178E-03,+158.2914557E-03,-644.5312500E-03
+809.2500E-06,-786.4321523E-03,+241.2060276E-03,-1.0354614257E+00
+809.5000E-06,-804.0200919E-03,+482.4120551E-03,-1.2890625000E+00
+809.7500E-06,-849.2462219E-03,+701.0050177E-03,-1.5551757812E+00
+810.0000E-06,-1.1281406914E+00,+645.7286362E-03,-1.7822265623E+00
+810.2500E-06,-1.3944723466E+00,+713.5678319E-03,-2.1166992188E+00
+810.5000E-06,-1.3291457143E+00,+1.0452261195E+00,-2.3754882812E+00
+810.7500E-06,-1.4597989796E+00,+1.1934673236E+00,-2.6562500000E+00
+811.0000E-06,-1.7663316395E+00,+1.2060301378E+00,-2.9760742188E+00
+811.2500E-06,-1.7864321418E+00,+1.2688442074E+00,-3.0566406250E+00
+811.5000E-06,-1.7261306349E+00,+1.4899497327E+00,-3.2226562500E+00
+811.7500E-06,-1.8140703322E+00,+1.7236180722E+00,-3.5449218750E+00
